EXPIRATION,SPOT PRICE,STRIKE PRICE,CALL,MATURITY,HESTON,BSM
24,425.73,395,30.75,21/5/2021,30.73,32.55
24,425.73,400,25.88,21/5/2021,25.72,27.57
24,425.73,405,21,21/5/2021,20.73,22.6
24,425.67,410,16.5,21/5/2021,15.67,17.56
24,425.68,415,11.88,21/5/2021,10.68,12.6
24,425.65,420,7.69,21/5/2021,6.26,7.59
24,425.65,425,4.44,21/5/2021,1.68,2.6
24,425.68,430,2.1,21/5/2021,0.12,0
24,425.65,435,0.78,21/5/2021,0,0
24,425.16,440,0.25,21/5/2021,0,0
24,424.78,445,0.1,21/5/2021,0,0
24,425.19,450,0.1,21/5/2021,0,0
87,425.73,380,46.75,23/7/2021,46.95,52.03
87,425.73,385,42,23/7/2021,42.36,47.12
87,425.73,390,37.5,23/7/2021,37.85,42.21
87,425.73,395,33,23/7/2021,33.43,37.29
87,425.73,400,28.5,23/7/2021,29.11,32.37
87,425.73,405,24.13,23/7/2021,24.91,27.45
87,425.26,410,20.38,23/7/2021,20.49,22.07
87,425.86,415,16.13,23/7/2021,17.11,17.75
87,425.68,420,12.82,23/7/2021,13.36,12.65
87,425.42,425,9.32,23/7/2021,9.89,7.48
87,425.62,430,6.51,23/7/2021,7.13,2.81
87,425.82,435,4.51,23/7/2021,4.87,0.13
87,425.68,440,2.75,23/7/2021,3.08,0
87,426.75,445,1.6,23/7/2021,2.15,0
87,425.78,450,0.85,23/7/2021,1.22,0
87,425.39,455,0.44,23/7/2021,0.74,0
115,425.73,380,47.25,20/7/2021,46.84,54.05
115,425.73,390,38.13,20/7/2021,37.71,42.27
115,425.73,400,29.38,20/7/2021,28.94,34.5
115,425.73,410,21.19,20/7/2021,20.67,24.7
115,425.41,420,13.88,20/7/2021,23.96,14.6
115,425.63,430,8.13,20/7/2021,7.93,5.05
115,425.28,440,3.88,20/7/2021,2.81,0.01
115,425.13,450,1.5,20/7/2021,1.06,0
